Timestamp,How old are you?,What is your height? (cm),What is your weight? (kg),What are your dietary requirement?,Do you have any allergies?,Are you interested in trying new food?,Chicken Rice,Yong Tau Foo,Hokkien Mee,Char Kway Teow,Laksa,Kaya Toast,Chilli Crab,Dim Sum,Nasi Lemak,Ayam Penyet,Otah,Ice Kachang,Curry Puff,Satay,Chendol,Roti Prata,Tandoori Chicken,Chicken Masala,Fish Head Curry,Naan,French Fries,Fried Chicken,Burgers,Pasta,Chawanmushi,Sashimi,Sushi,Ramen,Miso Soup,Korean BBQ
13/09/2022 22:52:36,17,165,73,None,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:16:19,17,156,53,None,None,Yes,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:18:46,18,166,47,None,None,Yes,Like,Dislike,Like,Like,Dislike,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Dislike
13/09/2022 23:26:41,18,153,52,None,None,Yes,Dislike,Dislike,Like,Dislike,Like,Like,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like
13/09/2022 23:27:02,18,154,45,None,None,Yes,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like
13/09/2022 23:27:53,18,162,55,None,None,Yes,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like
13/09/2022 23:27:56,46,167,55,No Beef,None,No,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Dislike,Like,Dislike,Like,Dislike
13/09/2022 23:27:58,18,156,45,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like
13/09/2022 23:28:15,18,149,42,None,None,No,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:28:20,17,153,47,None,"Milk, Eggs, Peanuts, Prawn, Honey, shrimp",Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:28:29,17,155,55,None,None,Yes,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:29:34,20,169,54,None,None,Yes,Like,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Dislike,Dislike,Dislike,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Dislike
13/09/2022 23:29:47,18,165,63,None,None,Yes,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like
13/09/2022 23:29:50,52,157,63,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:30:22,20,170,100,None,"Prawn, Shellfish",Yes,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:30:23,18,155,54,None,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Like
13/09/2022 23:30:25,17,171,60,None,None,Yes,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:30:27,17,162.5,62,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:30:32,17,175,66,Halal,None,Yes,Dislike,Dislike,Dislike,Dislike,Like,Like,Dislike,Dislike,Like,Dislike,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Dislike,Like,Like,Dislike,Dislike,Dislike
13/09/2022 23:30:36,17,161,49,Lactose Intolerance,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Like,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like
13/09/2022 23:30:46,18,175,90,No Beef,"Prawn, Shellfish, Fish",No,Like,Like,Dislike,Like,Dislike,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like
13/09/2022 23:31:01,18.16,152,39,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:31:45,50,160,52,Lactose Intolerance,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:31:52,21,157,42,Halal,None,Yes,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Dislike,Like
13/09/2022 23:32:00,17,164,53,Lactose Intolerance,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:32:03,18,160,50,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:32:25,17,172,110,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:32:40,17,163,60,None,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like
13/09/2022 23:32:56,56,165,66,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:33:11,17,176,76,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:35:39,18,178,53,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:36:00,18,167,56,No Beef,None,No,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Dislike,Like,Dislike,Dislike,Like,Like,Dislike,Like
13/09/2022 23:37:07,17,154,40,None,None,Yes,Like,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:37:29,18,169,56,None,None,No,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like
13/09/2022 23:37:33,18,174,65,None,"Prawn, Shellfish",Yes,Like,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:38:49,17,168,54,Halal,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like
13/09/2022 23:41:37,20,184,70,Lactose Intolerance,None,Yes,Like,Dislike,Like,Like,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like
13/09/2022 23:46:32,17,176,78,None,None,No,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like
13/09/2022 23:49:56,18,160,53,None,Milk,No,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Dislike,Dislike,Like,Like,Like,Like
13/09/2022 23:50:16,48,168,80,None,None,Yes,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike
13/09/2022 23:52:02,16,164,47,None,None,Yes,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:52:07,17,166,50,None,None,No,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:53:03,17,160,42,None,None,Yes,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:53:52,18,155,60,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:56:50,24,156,57,No Beef,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
13/09/2022 23:59:44,17,180,72,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 00:04:12,18,170,56,None,None,Yes,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Dislike,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like
14/09/2022 00:08:07,18,158,50,No Beef,None,Yes,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike
14/09/2022 00:10:24,16,176,60,None,Grass allergy :(,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 00:11:39,30,158,54,None,"Yes, but donâ€™t know which ones and only mildly",Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 00:11:46,18,181,78,Halal,None,Yes,Like,Dislike,Dislike,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Like
14/09/2022 00:13:01,18,152,39,Vegetarian,None,Yes,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Dislike,Dislike,Like,Like,Dislike,Dislike
14/09/2022 00:17:55,24,173,89,None,None,Yes,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 00:20:04,17,158,47,None,None,No,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like
14/09/2022 00:21:34,17,168,57,None,Prawn,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like
14/09/2022 00:22:17,19,166,57,No Beef,None,Yes,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 00:24:10,17,171,63,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 00:27:13,20,162,67,None,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Dislike
14/09/2022 00:28:40,17,156,53,None,None,Yes,Like,Dislike,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Dislike,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Dislike,Dislike
14/09/2022 00:30:36,18,168,66.8,no beef and pork,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Dislike,Like
14/09/2022 01:15:05,17,168,49,None,Prawn,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like
14/09/2022 01:53:29,16,169,52,None,None,Yes,Like,Dislike,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 01:56:42,18,161,65,None,None,No,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like
14/09/2022 02:02:41,16,158.5,46.5,"None, I cannot take spicy food",None,Yes,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like
14/09/2022 02:18:07,21,175,57,None,None,Yes,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Like
14/09/2022 02:18:20,18,151,50,None,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like
14/09/2022 02:49:41,17,184,67,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like
14/09/2022 05:03:14,49,160,47,None,None,No,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 05:25:29,48,175,90,None,None,No,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Like
14/09/2022 06:17:10,17,153,55,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 06:33:55,17,163,54,No Beef,None,Yes,Like,Like,Dislike,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like
14/09/2022 06:56:47,15,180,80,No Beef,None,Yes,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Dislike,Dislike,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like
14/09/2022 07:18:53,41,163,65,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 07:35:28,49,165,70,None,None,Yes,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 07:44:01,44,163,55,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 07:48:08,43,170,80,"Lactose Intolerance, None","Shellfish, Red Meat (Duck, Beef etc)",Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 07:54:10,50,170,70,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like
14/09/2022 07:55:43,17,168,69.8,None,None,Yes,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Like,Like,Like
14/09/2022 08:13:08,46,158,52,Vegetarian,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like
14/09/2022 08:34:03,47,158,51,No Beef,None,Yes,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Dislike,Like
14/09/2022 08:39:07,17,174,300,None,None,Yes,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 08:55:16,17,177,70,None,None,Yes,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like
14/09/2022 09:15:23,17,158,52,Lactose Intolerance,None,Yes,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like
14/09/2022 09:46:24,23,161,40,None,Eggs,Yes,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Like,Dislike,Like,Like,Like,Like,Like
14/09/2022 09:50:29,18,178,68,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like
14/09/2022 10:38:25,16,160,65,Gluten Intolerance,None,Yes,Dislike,Like,Dislike,Like,Dislike,Dislike,Like,Like,Dislike,Like,Dislike,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Dislike,Dislike,Like